valor,categoria,dia_da_semana,essencial,recorrente
48.46,Lanche,2,0,1
48.84,Alimentação,7,1,1
72.3,Combustível,4,1,1
136.35,Lanche,6,0,1
44.55,Alimentação,3,1,1
15.27,Lanche,5,0,0
100.66,Combustível,2,1,1
98.91,Lazer,5,0,0
88.36,Manutenção,1,1,0
29.98,Combustível,6,1,1
121.86,Manutenção,4,0,1
49.09,Lanche,3,0,0
137.26,Lazer,1,0,0
23.4,Manutenção,1,1,0
80.75,Combustível,3,1,1
93.9,Lanche,2,0,0
124.17,Lanche,1,0,1
147.5,Manutenção,5,1,1
124.89,Alimentação,5,1,1
19.05,Combustível,5,1,1
38.6,Alimentação,4,1,1
84.51,Manutenção,2,0,0
63.37,Combustível,7,1,1
137.92,Combustível,5,1,1
144.4,Alimentação,4,1,0
79.46,Alimentação,6,1,1
95.57,Lanche,2,0,0
28.34,Manutenção,4,0,1
77.36,Lanche,6,1,0
94.68,Combustível,6,1,1
13.08,Manutenção,6,1,1
81.38,Lazer,3,0,0
60.89,Combustível,5,1,1
114.92,Lazer,5,0,1
36.0,Manutenção,7,0,1
142.63,Lanche,1,1,1
105.32,Combustível,7,1,1
115.18,Combustível,3,1,1
13.84,Manutenção,2,0,0
113.18,Lanche,3,1,1
87.08,Lazer,2,0,1
40.46,Combustível,4,1,1
143.55,Manutenção,3,1,1
26.07,Alimentação,6,1,1
42.11,Lazer,1,0,0
118.89,Combustível,7,1,1
83.54,Lanche,3,1,1
85.8,Combustível,5,1,1
27.79,Manutenção,6,1,0
92.76,Manutenção,5,0,1
86.74,Lazer,7,0,0
81.63,Combustível,2,1,1
33.54,Lanche,6,0,0
93.33,Combustível,3,1,1
27.63,Combustível,7,1,1
30.12,Combustível,7,1,1
46.36,Alimentação,5,1,1
117.3,Combustível,6,1,1
39.41,Manutenção,7,0,1
49.14,Combustível,2,1,1
56.09,Combustível,7,1,1
65.05,Alimentação,4,1,0
134.56,Combustível,2,1,1
44.09,Combustível,1,1,1
126.15,Lanche,3,0,1
111.32,Lanche,4,1,0
99.71,Alimentação,7,1,0
78.56,Combustível,7,1,1
11.24,Alimentação,6,1,1
78.78,Alimentação,6,1,1
112.74,Manutenção,4,0,1
51.83,Lanche,5,0,0
39.49,Alimentação,4,1,1
130.13,Alimentação,5,1,0
69.81,Manutenção,4,1,1
101.49,Manutenção,5,1,0
69.68,Manutenção,4,1,0
81.29,Lanche,5,1,0
93.47,Lanche,2,0,1
111.59,Lanche,4,0,0
26.77,Lanche,5,1,1
68.31,Lanche,5,0,0
89.16,Combustível,3,1,1
10.64,Manutenção,7,1,1
60.76,Alimentação,4,1,0
56.19,Manutenção,4,1,1
25.26,Combustível,3,1,1
61.99,Lanche,6,0,0
42.49,Lazer,5,0,1
25.18,Lanche,1,1,0
119.83,Lazer,5,0,1
120.62,Lanche,3,0,1
130.61,Alimentação,1,1,0
57.3,Alimentação,6,1,0
85.99,Lanche,5,1,0
58.56,Alimentação,6,1,0
97.51,Combustível,6,1,1
39.07,Lazer,3,0,1
73.64,Lazer,3,0,0
147.18,Lanche,5,0,1
50.54,Combustível,5,1,1
31.46,Manutenção,6,0,0
62.56,Combustível,5,1,1
98.29,Alimentação,2,1,0
144.07,Lazer,2,0,1
83.15,Combustível,6,1,1
61.84,Alimentação,4,1,1
120.71,Lanche,5,1,0
78.03,Alimentação,7,1,1
107.9,Lazer,2,0,1
41.4,Combustível,6,1,1
21.84,Combustível,7,1,1
13.36,Lazer,1,0,1
121.66,Alimentação,3,1,1
89.2,Lazer,2,0,1
88.91,Alimentação,7,1,0
117.98,Lazer,2,0,1
45.6,Manutenção,2,0,1
149.44,Lanche,1,1,0
12.08,Alimentação,7,1,0
117.77,Lazer,6,0,0
68.23,Lanche,7,1,0
84.81,Lanche,2,0,1
29.27,Alimentação,5,1,0
149.58,Manutenção,5,0,1
105.24,Lazer,3,0,1
103.44,Combustível,6,1,1
65.56,Manutenção,4,0,1
36.41,Manutenção,3,1,0
78.54,Lazer,7,0,0
19.81,Lazer,1,0,0
139.6,Manutenção,6,0,0
86.65,Alimentação,6,1,0
125.64,Alimentação,1,1,0
50.55,Lanche,6,0,0
125.0,Alimentação,3,1,1
91.24,Lazer,6,0,1
76.86,Combustível,1,1,1
90.42,Alimentação,3,1,1
86.35,Combustível,4,1,1
69.81,Alimentação,2,1,0
128.38,Combustível,7,1,1
54.13,Alimentação,5,1,1
93.53,Lazer,6,0,1
97.52,Lazer,7,0,0
148.88,Alimentação,4,1,0
48.65,Combustível,5,1,1
41.02,Manutenção,4,0,0
120.84,Lanche,4,1,0
140.31,Manutenção,5,0,1
113.75,Lanche,3,1,1
70.06,Alimentação,6,1,1
144.52,Combustível,7,1,1
75.6,Lanche,2,1,0
140.55,Lazer,6,0,1
101.36,Lanche,6,1,1
126.62,Alimentação,1,1,1
140.36,Lanche,3,0,1
52.03,Alimentação,5,1,1
39.83,Lanche,2,1,0
147.89,Lanche,2,1,1
115.72,Lanche,3,1,0
77.16,Lanche,4,0,0
41.82,Alimentação,5,1,1
71.48,Combustível,3,1,1
125.63,Lanche,1,0,1
139.2,Combustível,3,1,1
93.3,Combustível,1,1,1
56.88,Manutenção,3,0,1
12.31,Alimentação,4,1,1
90.26,Lazer,4,0,0
25.11,Combustível,1,1,1
41.7,Alimentação,5,1,0
71.09,Lazer,7,0,0
117.61,Combustível,3,1,1
148.16,Lanche,6,0,0
26.83,Alimentação,3,1,1
91.76,Lanche,3,0,1
138.44,Combustível,7,1,1
102.78,Alimentação,4,1,0
117.58,Alimentação,4,1,0
96.89,Alimentação,7,1,1
144.71,Lanche,1,0,0
29.31,Manutenção,1,1,1
54.52,Lanche,1,1,1
51.07,Lanche,4,1,0
68.99,Combustível,6,1,1
98.26,Lazer,5,0,0
149.56,Lazer,3,0,0
39.69,Manutenção,2,0,0
19.72,Alimentação,2,1,1
136.04,Lazer,1,0,0
73.57,Alimentação,3,1,0
71.88,Combustível,5,1,1
42.6,Alimentação,4,1,1
53.19,Combustível,4,1,1
62.26,Lanche,5,0,0
144.52,Manutenção,4,0,0
74.14,Combustível,3,1,1
121.08,Lanche,6,0,0
47.3,Manutenção,5,0,1
119.94,Lazer,1,0,1
29.32,Combustível,7,1,1
60.87,Combustível,2,1,1
145.41,Manutenção,3,1,0
58.57,Lanche,6,1,0
111.19,Lazer,1,0,0
100.85,Lanche,7,1,1
128.16,Alimentação,2,1,0
116.03,Manutenção,1,0,0
96.94,Lazer,4,0,0
48.91,Manutenção,7,0,1
147.85,Alimentação,1,1,0
56.06,Manutenção,3,1,0
130.27,Lazer,5,0,0
21.67,Lazer,5,0,0
68.85,Lazer,3,0,0
135.96,Combustível,3,1,1
12.5,Lanche,6,0,0
90.03,Combustível,4,1,1
28.18,Manutenção,3,1,0
128.52,Lanche,6,0,1
72.61,Manutenção,4,0,0
21.54,Combustível,6,1,1
122.32,Lanche,5,0,0
148.47,Lanche,2,0,1
32.5,Lanche,6,0,0
46.36,Alimentação,2,1,0
43.12,Lanche,2,1,1
47.02,Alimentação,4,1,0
42.26,Combustível,2,1,1
123.5,Manutenção,4,1,1
64.61,Combustível,2,1,1
137.69,Lanche,2,0,0
31.71,Manutenção,3,1,1
121.73,Manutenção,2,1,1
43.83,Lazer,3,0,1
103.17,Lanche,1,0,1
72.32,Manutenção,7,1,1
70.19,Lanche,5,1,1
14.13,Combustível,4,1,1
60.43,Alimentação,5,1,1
44.13,Lanche,3,1,1
57.22,Combustível,7,1,1
67.71,Lazer,1,0,1
52.17,Combustível,6,1,1
147.61,Combustível,5,1,1
74.08,Lazer,7,0,0
147.13,Manutenção,5,0,1
127.41,Manutenção,3,0,0
82.13,Alimentação,1,1,1
119.87,Manutenção,6,1,1
75.89,Manutenção,5,1,1
75.01,Manutenção,2,1,0
37.43,Alimentação,1,1,0
110.59,Lanche,6,0,0
24.23,Combustível,4,1,1
89.43,Manutenção,5,1,0
30.95,Lanche,7,1,1
39.62,Lazer,5,0,1
12.47,Lanche,7,0,1
118.03,Lazer,7,0,0
71.53,Combustível,7,1,1
101.87,Lanche,1,1,0
118.36,Lanche,2,1,1
126.62,Combustível,3,1,1
86.97,Lanche,3,1,0
97.31,Combustível,6,1,1
133.48,Lanche,7,0,0
79.76,Lanche,1,1,1
23.31,Combustível,4,1,1
91.21,Combustível,6,1,1
84.45,Manutenção,4,1,0
104.12,Manutenção,7,1,1
38.35,Lazer,2,0,0
54.3,Manutenção,2,1,0
20.31,Lanche,3,1,1
31.46,Lazer,2,0,0
126.28,Alimentação,1,1,0
23.37,Lanche,1,1,1
72.81,Manutenção,3,0,0
106.9,Manutenção,3,0,0
125.77,Manutenção,4,1,0
57.68,Alimentação,6,1,1
51.52,Lazer,6,0,0
72.57,Lanche,4,0,1
88.8,Alimentação,5,1,0
123.42,Lazer,5,0,1
138.69,Alimentação,2,1,1
20.02,Lanche,6,0,1
30.52,Combustível,7,1,1
83.93,Alimentação,5,1,0
103.24,Alimentação,6,1,1
85.91,Combustível,4,1,1
126.41,Alimentação,7,1,1
87.07,Combustível,3,1,1
85.14,Lazer,1,0,0
132.97,Lazer,3,0,0
137.68,Lanche,1,1,1
46.11,Combustível,5,1,1
75.69,Lazer,5,0,1
66.37,Lazer,2,0,0
39.56,Alimentação,5,1,1
119.0,Lazer,4,0,1
147.33,Manutenção,6,1,1
83.88,Alimentação,3,1,0
137.27,Combustível,1,1,1
44.66,Combustível,2,1,1
96.08,Lanche,2,1,0
26.95,Lazer,1,0,0
86.23,Alimentação,6,1,1
67.64,Lazer,6,0,0
73.14,Manutenção,2,0,1
71.68,Alimentação,6,1,0
131.93,Alimentação,4,1,0
61.13,Manutenção,2,0,0
144.0,Alimentação,2,1,0
76.58,Manutenção,4,0,0
146.36,Alimentação,2,1,0
132.89,Lazer,2,0,1
29.54,Lanche,3,1,1
60.88,Combustível,6,1,1
41.7,Manutenção,2,0,0
115.27,Lazer,4,0,0
41.85,Lanche,5,1,1
68.26,Alimentação,4,1,1
93.82,Manutenção,2,0,1
140.06,Combustível,6,1,1
49.09,Alimentação,3,1,0
89.05,Lanche,7,1,1
90.0,Lanche,3,0,0
49.05,Alimentação,5,1,1
87.95,Lazer,6,0,0
109.22,Lazer,5,0,0
136.34,Combustível,1,1,1
70.24,Lanche,1,0,0
144.73,Manutenção,2,0,0
78.23,Combustível,6,1,1
123.22,Lazer,1,0,1
124.56,Combustível,3,1,1
117.31,Combustível,2,1,1
48.4,Manutenção,5,0,1
114.4,Combustível,5,1,1
57.93,Alimentação,4,1,1
125.32,Lazer,2,0,0
148.81,Lanche,7,0,0
91.95,Manutenção,1,0,1
88.43,Lanche,7,1,1
103.28,Manutenção,1,1,0
108.08,Lazer,6,0,1
109.25,Manutenção,7,1,0
47.72,Lanche,4,0,0
100.69,Combustível,3,1,1
23.07,Combustível,7,1,1
84.28,Manutenção,6,1,0
12.41,Lazer,1,0,0
14.91,Combustível,5,1,1
31.21,Combustível,2,1,1
41.54,Manutenção,4,0,1
23.76,Lanche,1,1,1
89.65,Manutenção,7,1,0
104.19,Lazer,3,0,1
115.64,Lanche,7,0,1
62.66,Combustível,6,1,1
58.21,Lanche,5,1,0
54.8,Manutenção,7,0,1
58.61,Combustível,7,1,1
42.51,Lazer,1,0,0
118.33,Lazer,2,0,1
132.02,Lanche,6,1,0
143.9,Lazer,3,0,0
22.01,Lanche,3,0,1
101.72,Manutenção,5,1,1
47.01,Lazer,2,0,0
85.01,Combustível,3,1,1
10.51,Combustível,6,1,1
20.24,Lazer,1,0,1
40.39,Lazer,7,0,1
83.27,Combustível,3,1,1
123.17,Lazer,2,0,0
78.74,Alimentação,5,1,0
115.51,Manutenção,2,1,1
139.03,Lazer,4,0,1
125.38,Manutenção,7,0,1
29.74,Lazer,2,0,0
114.87,Alimentação,2,1,0
115.63,Lanche,7,0,0
107.03,Lazer,4,0,1
101.01,Lazer,4,0,0
50.89,Alimentação,4,1,0
38.53,Lanche,4,0,0
72.99,Manutenção,2,1,0
64.76,Lazer,1,0,0
138.76,Lazer,2,0,1
48.62,Combustível,4,1,1
60.39,Lanche,1,0,1
119.97,Lazer,3,0,0
44.24,Combustível,4,1,1
103.33,Manutenção,3,1,1
126.2,Alimentação,4,1,0
43.12,Combustível,7,1,1
45.95,Combustível,6,1,1
101.35,Alimentação,7,1,0
121.25,Manutenção,7,1,0
63.75,Alimentação,2,1,0
80.15,Lazer,1,0,1
76.11,Lazer,2,0,0
141.47,Lanche,7,1,0
143.14,Lanche,5,1,1
145.68,Manutenção,1,1,1
129.12,Lazer,2,0,0
125.2,Lazer,3,0,1
19.45,Alimentação,4,1,1
37.41,Lazer,3,0,1
127.68,Manutenção,5,1,0
88.53,Lazer,3,0,0
72.99,Manutenção,1,1,0
28.14,Combustível,4,1,1
11.5,Manutenção,1,1,1
135.81,Lanche,4,1,0
57.71,Lanche,2,1,1
24.81,Lanche,5,1,0
78.62,Lanche,6,1,0
80.84,Lanche,3,1,1
70.3,Alimentação,6,1,0
118.91,Manutenção,7,0,0
96.2,Lazer,2,0,0
82.27,Lanche,6,0,1
149.74,Lanche,6,1,1
100.63,Combustível,1,1,1
64.37,Manutenção,6,0,1
101.22,Combustível,1,1,1
33.66,Lanche,4,0,1
50.92,Lazer,7,0,0
27.96,Combustível,5,1,1
30.51,Combustível,4,1,1
37.59,Alimentação,2,1,0
66.95,Lanche,2,1,0
103.25,Alimentação,4,1,0
118.05,Combustível,3,1,1
144.93,Alimentação,5,1,0
138.1,Lanche,2,0,1
122.89,Lanche,5,1,1
50.11,Lazer,6,0,0
12.59,Manutenção,7,1,1
36.95,Combustível,5,1,1
31.11,Lazer,4,0,0
65.37,Manutenção,5,0,0
37.39,Lazer,2,0,1
34.25,Combustível,6,1,1
69.6,Alimentação,7,1,1
47.17,Alimentação,3,1,1
31.29,Lazer,1,0,0
66.06,Lazer,3,0,1
22.64,Lanche,1,1,0
13.05,Alimentação,6,1,0
73.4,Lanche,1,0,0
28.95,Manutenção,2,1,1
75.23,Combustível,4,1,1
94.48,Lanche,1,1,1
56.19,Alimentação,5,1,0
135.41,Lanche,1,1,1
99.11,Lazer,3,0,0
50.23,Alimentação,3,1,0
61.97,Combustível,1,1,1
94.89,Alimentação,1,1,1
109.76,Combustível,6,1,1
28.99,Manutenção,6,0,0
82.26,Lazer,3,0,0
85.85,Combustível,3,1,1
95.74,Alimentação,2,1,0
116.01,Lanche,4,1,1
39.01,Lanche,3,1,1
137.57,Alimentação,7,1,0
140.02,Combustível,1,1,1
109.18,Alimentação,5,1,0
86.63,Lanche,4,1,1
25.8,Alimentação,2,1,1
88.85,Combustível,3,1,1
37.79,Manutenção,1,0,1
92.92,Alimentação,3,1,1
71.58,Lanche,7,0,0
100.34,Lazer,5,0,0
23.44,Lazer,2,0,1
111.3,Lanche,6,1,1
109.88,Lazer,6,0,1
55.77,Lazer,3,0,1
63.71,Combustível,6,1,1
56.23,Lazer,2,0,1
45.25,Lazer,1,0,1
80.81,Alimentação,2,1,1
125.43,Lanche,6,1,1
23.99,Combustível,3,1,1
59.47,Combustível,5,1,1
53.66,Lanche,1,1,0
148.31,Combustível,4,1,1
74.77,Manutenção,5,1,1
66.57,Manutenção,7,0,0
40.91,Lazer,1,0,0
34.17,Alimentação,5,1,1
45.35,Lanche,3,0,1
91.05,Combustível,4,1,1
140.56,Combustível,1,1,1
85.82,Manutenção,2,0,0
81.39,Alimentação,3,1,1
131.44,Manutenção,4,0,0
11.07,Lanche,7,1,0
106.68,Lanche,1,1,0
62.62,Lazer,6,0,1
60.19,Lazer,7,0,0
104.95,Lanche,7,0,1
97.2,Alimentação,7,1,0
29.95,Manutenção,2,0,0
94.63,Manutenção,4,1,0
34.19,Manutenção,5,0,0
23.51,Manutenção,2,1,0
102.92,Lanche,2,0,1
91.93,Lanche,5,1,0
38.48,Combustível,1,1,1
100.29,Alimentação,1,1,1
123.09,Lanche,5,0,0
91.06,Lanche,7,1,0
76.6,Manutenção,2,0,0
149.48,Lanche,1,0,1
70.78,Lazer,7,0,0
100.17,Combustível,6,1,1
111.06,Manutenção,3,0,0
43.85,Alimentação,5,1,0
91.73,Manutenção,6,0,1
70.38,Lazer,6,0,0
11.64,Lazer,4,0,1
109.12,Alimentação,6,1,0
63.77,Alimentação,4,1,1
34.56,Lanche,3,0,0
129.94,Combustível,2,1,1
68.22,Lanche,1,1,1
35.55,Lanche,5,1,1
114.28,Lazer,2,0,0
11.63,Alimentação,5,1,1
139.33,Lazer,4,0,1
37.43,Lazer,5,0,0
82.4,Manutenção,7,0,0
61.99,Lanche,4,1,1
119.12,Alimentação,1,1,0
34.0,Alimentação,4,1,0
35.93,Lanche,1,1,1
60.38,Manutenção,7,1,1
33.11,Lanche,6,0,0
74.62,Combustível,4,1,1
47.24,Alimentação,6,1,1
126.59,Lanche,7,0,0
77.07,Alimentação,5,1,0
104.37,Alimentação,7,1,1
16.81,Manutenção,4,1,1
74.72,Alimentação,7,1,0
33.01,Manutenção,2,0,0
13.79,Combustível,1,1,1
81.82,Combustível,6,1,1
87.7,Manutenção,1,1,1
48.98,Combustível,2,1,1
34.18,Alimentação,1,1,0
76.77,Lanche,7,1,0
68.12,Manutenção,1,0,1
56.66,Lazer,5,0,1
28.19,Manutenção,4,1,1
113.71,Lanche,7,0,0
147.0,Lanche,1,0,1
40.65,Lazer,4,0,0
129.45,Alimentação,7,1,0
112.79,Lanche,7,0,1
27.29,Combustível,5,1,1
55.41,Lanche,6,0,1
133.99,Combustível,1,1,1
134.48,Lazer,3,0,1
23.0,Lanche,6,0,1
104.12,Manutenção,6,1,1
64.75,Alimentação,2,1,0
118.78,Lanche,7,0,1
28.47,Lanche,6,1,0
147.37,Combustível,6,1,1
107.7,Lanche,4,1,0
30.48,Combustível,1,1,1
38.76,Manutenção,6,1,1
87.51,Alimentação,3,1,0
48.9,Lanche,7,0,1
125.82,Lazer,6,0,0
134.34,Alimentação,4,1,0
21.27,Combustível,6,1,1
15.01,Lanche,7,0,0
81.67,Lazer,2,0,1
90.34,Manutenção,1,0,1
20.22,Manutenção,4,1,1
86.98,Lazer,4,0,0
45.46,Combustível,5,1,1
122.03,Lanche,2,0,0
138.91,Combustível,6,1,1
98.95,Lazer,5,0,1
91.77,Combustível,4,1,1
132.44,Manutenção,5,0,1
132.84,Combustível,6,1,1
134.21,Manutenção,7,1,1
102.35,Lanche,5,0,0
22.98,Alimentação,5,1,1
110.97,Alimentação,3,1,1
145.96,Alimentação,2,1,1
38.21,Lazer,7,0,0
13.23,Lanche,2,1,1
16.77,Lazer,5,0,0
101.17,Lazer,6,0,1
33.54,Lazer,1,0,1
96.47,Manutenção,4,0,0
138.44,Alimentação,4,1,0
59.11,Combustível,7,1,1
72.27,Alimentação,2,1,1
11.36,Lazer,7,0,1
16.52,Lazer,6,0,0
34.53,Alimentação,6,1,1
116.53,Combustível,1,1,1
111.28,Alimentação,2,1,1
54.61,Lanche,6,1,0
88.79,Lanche,6,1,0
146.41,Manutenção,7,0,0
26.4,Lazer,6,0,1
40.42,Lanche,5,1,0
19.19,Alimentação,2,1,0
83.98,Combustível,5,1,1
83.71,Lanche,5,0,0
82.39,Combustível,6,1,1
144.86,Combustível,6,1,1
112.94,Lanche,6,1,1
46.53,Manutenção,1,1,1
83.99,Lanche,5,0,1
125.67,Alimentação,3,1,0
63.28,Lanche,4,0,1
105.65,Alimentação,5,1,1
130.01,Lanche,6,1,0
33.04,Lanche,5,1,0
25.04,Lazer,3,0,1
83.18,Combustível,5,1,1
84.48,Combustível,7,1,1
66.29,Manutenção,5,0,0
78.02,Lanche,3,1,1
141.81,Lazer,1,0,0
15.9,Lazer,5,0,1
125.49,Manutenção,4,1,1
34.3,Combustível,4,1,1
134.58,Lazer,7,0,0
69.84,Manutenção,3,1,1
15.0,Lazer,6,0,1
116.97,Lanche,1,0,1
46.71,Lazer,5,0,1
120.15,Alimentação,7,1,1
53.22,Alimentação,2,1,0
137.97,Lanche,6,1,1
10.78,Combustível,4,1,1
32.75,Alimentação,2,1,1
14.66,Alimentação,2,1,0
56.83,Alimentação,7,1,1
31.88,Alimentação,1,1,1
24.59,Lanche,7,1,1
38.44,Combustível,6,1,1
10.6,Alimentação,2,1,0
28.16,Combustível,6,1,1
14.83,Manutenção,4,1,0
107.75,Lanche,2,1,1
25.5,Lanche,6,0,1
71.28,Lanche,4,0,1
132.91,Lazer,5,0,1
13.13,Lanche,7,0,0
27.56,Alimentação,5,1,1
51.87,Combustível,6,1,1
120.25,Lanche,4,1,0
90.64,Lanche,7,1,0
135.0,Manutenção,4,1,1
21.77,Alimentação,6,1,0
78.98,Combustível,7,1,1
58.14,Manutenção,7,1,0
148.77,Alimentação,5,1,0
66.7,Lanche,6,1,1
123.57,Combustível,3,1,1
130.04,Alimentação,4,1,0
66.32,Lazer,7,0,1
117.11,Manutenção,6,1,0
69.98,Combustível,6,1,1
76.74,Alimentação,4,1,0
133.21,Lazer,1,0,0
114.09,Lanche,4,1,1
38.9,Manutenção,2,1,0
137.34,Lazer,6,0,1
89.83,Lanche,3,1,0
69.36,Lanche,1,1,1
127.23,Alimentação,7,1,1
118.07,Combustível,3,1,1
120.69,Lanche,6,1,1
37.45,Lazer,6,0,0
115.05,Lazer,3,0,1
58.04,Lanche,7,1,1
16.87,Alimentação,5,1,0
56.66,Combustível,2,1,1
98.92,Lanche,5,0,0
85.84,Lazer,5,0,1
113.79,Manutenção,4,0,1
58.15,Alimentação,5,1,1
110.37,Manutenção,4,1,0
94.0,Lazer,5,0,1
115.67,Lanche,3,1,1
68.68,Lazer,4,0,0
84.27,Combustível,1,1,1
127.47,Manutenção,7,0,0
84.73,Manutenção,7,1,1
116.32,Lanche,6,1,0
51.17,Combustível,4,1,1
100.39,Lanche,3,1,0
28.75,Lazer,5,0,0
65.23,Alimentação,5,1,0
139.8,Lanche,4,1,0
122.94,Manutenção,5,1,0
41.81,Alimentação,3,1,0
19.07,Lazer,3,0,1
14.22,Combustível,7,1,1
124.6,Combustível,3,1,1
126.85,Manutenção,2,0,1
136.76,Alimentação,3,1,1
14.99,Lazer,3,0,1
54.57,Manutenção,1,0,0
20.8,Combustível,6,1,1
143.14,Lanche,4,1,1
100.51,Combustível,7,1,1
40.96,Lazer,5,0,0
63.0,Combustível,3,1,1
74.67,Combustível,7,1,1
47.72,Combustível,6,1,1
127.5,Manutenção,3,0,1
139.35,Alimentação,3,1,0
146.51,Manutenção,2,0,1
83.65,Manutenção,7,1,1
14.87,Alimentação,7,1,0
89.88,Lazer,3,0,1
53.62,Alimentação,6,1,0
100.65,Alimentação,4,1,0
125.25,Manutenção,1,1,1
99.86,Lanche,7,1,1
106.17,Lazer,5,0,1
71.64,Alimentação,3,1,0
113.95,Manutenção,6,0,0
59.88,Alimentação,2,1,1
68.45,Lanche,7,1,0
110.9,Lanche,7,1,1
72.65,Alimentação,1,1,1
130.27,Alimentação,2,1,1
100.82,Manutenção,5,0,0
26.75,Manutenção,4,1,1
87.92,Lanche,6,1,0
98.3,Manutenção,4,0,1
130.5,Manutenção,5,0,1
18.97,Combustível,6,1,1
28.5,Manutenção,6,1,0
121.22,Manutenção,5,1,0
44.82,Alimentação,5,1,0
111.08,Lazer,2,0,1
87.99,Alimentação,1,1,0
138.3,Lazer,5,0,0
12.49,Lazer,6,0,1
129.11,Lanche,7,0,1
35.23,Lazer,2,0,1
129.69,Alimentação,1,1,0
137.31,Alimentação,7,1,1
55.41,Lazer,7,0,1
146.3,Manutenção,1,0,0
124.52,Alimentação,6,1,0
119.09,Alimentação,2,1,1
52.08,Lanche,6,0,1
56.29,Lazer,6,0,1
27.88,Combustível,6,1,1
107.44,Lanche,4,0,1
40.45,Alimentação,7,1,1
108.26,Manutenção,5,1,1
20.9,Alimentação,4,1,1
40.11,Alimentação,4,1,1
64.21,Lazer,4,0,0
64.59,Combustível,1,1,1
18.43,Combustível,7,1,1
69.27,Lanche,3,0,1
108.56,Alimentação,4,1,0
105.63,Manutenção,7,1,0
19.47,Combustível,6,1,1
65.85,Combustível,3,1,1
110.38,Alimentação,2,1,1
24.62,Lazer,4,0,0
78.04,Lanche,6,0,1
10.5,Lanche,4,0,1
47.69,Alimentação,7,1,0
12.75,Combustível,2,1,1
91.64,Lanche,7,1,0
145.88,Alimentação,7,1,1
53.84,Alimentação,4,1,0
104.36,Lazer,5,0,0
38.7,Lanche,6,0,1
147.75,Manutenção,5,1,1
89.17,Lazer,4,0,1
95.3,Alimentação,5,1,0
21.25,Combustível,7,1,1
18.82,Lanche,1,0,1
54.57,Alimentação,1,1,0
28.28,Combustível,2,1,1
138.39,Lazer,3,0,0
87.96,Manutenção,1,1,0
83.07,Lanche,6,1,0
19.92,Combustível,5,1,1
55.77,Lanche,4,1,1
84.95,Manutenção,5,1,1
94.73,Combustível,1,1,1
49.81,Lanche,6,0,1
83.38,Combustível,5,1,1
36.02,Lanche,4,1,0
135.25,Manutenção,4,0,0
56.23,Combustível,5,1,1
142.73,Combustível,6,1,1
27.08,Alimentação,5,1,1
105.83,Lazer,1,0,0
64.29,Combustível,4,1,1
104.91,Lazer,6,0,0
92.22,Combustível,2,1,1
120.24,Manutenção,1,0,0
122.08,Lanche,3,1,1
77.89,Lanche,1,0,0
31.78,Manutenção,1,1,1
11.02,Alimentação,4,1,1
32.78,Combustível,6,1,1
65.33,Alimentação,1,1,0
80.61,Lanche,2,0,1
17.99,Combustível,1,1,1
136.19,Lanche,1,0,1
14.93,Alimentação,2,1,0
54.4,Combustível,3,1,1
107.45,Lazer,2,0,1
110.32,Combustível,2,1,1
32.19,Lazer,6,0,1
96.49,Alimentação,1,1,1
105.58,Lanche,1,1,1
29.87,Alimentação,1,1,1
129.54,Manutenção,5,0,0
47.72,Combustível,5,1,1
19.44,Manutenção,1,0,1
119.41,Combustível,5,1,1
140.21,Alimentação,4,1,0
133.55,Lanche,5,0,0
21.83,Manutenção,2,1,1
108.03,Lazer,1,0,0
123.44,Combustível,6,1,1
146.32,Lanche,2,0,1
58.54,Alimentação,3,1,0
135.36,Alimentação,5,1,0
53.75,Combustível,2,1,1
29.54,Manutenção,5,1,0
85.6,Lanche,1,0,1
135.87,Alimentação,3,1,1
117.5,Manutenção,3,1,0
89.63,Combustível,4,1,1
142.62,Combustível,5,1,1
143.93,Lanche,6,1,0
137.99,Lanche,4,1,0
70.03,Lanche,3,1,1
112.78,Manutenção,7,0,0
81.63,Combustível,6,1,1
90.66,Alimentação,6,1,1
104.63,Combustível,4,1,1
56.3,Manutenção,2,0,0
73.71,Manutenção,6,1,0
98.04,Alimentação,6,1,0
78.16,Alimentação,2,1,0
139.46,Lazer,3,0,1
127.18,Alimentação,5,1,0
107.55,Lanche,5,0,0
67.41,Alimentação,2,1,0
49.86,Combustível,3,1,1
108.21,Lanche,2,0,1
63.15,Manutenção,4,0,0
75.27,Lanche,5,1,1
104.41,Manutenção,6,1,1
90.89,Combustível,7,1,1
80.29,Alimentação,5,1,1
30.97,Manutenção,3,1,1
18.16,Combustível,1,1,1
32.89,Lazer,6,0,0
127.8,Alimentação,4,1,1
116.88,Lanche,2,0,0
58.75,Alimentação,5,1,1
60.63,Alimentação,2,1,0
147.28,Manutenção,7,0,1
25.82,Lanche,5,0,1
88.98,Lazer,7,0,1
148.15,Lazer,6,0,1
63.19,Combustível,1,1,1
123.1,Alimentação,3,1,0
125.86,Combustível,6,1,1
126.71,Lanche,2,1,0
24.47,Lazer,5,0,0
43.17,Lazer,3,0,0
83.53,Manutenção,6,0,0
104.96,Manutenção,3,0,0
99.55,Lanche,2,0,0
20.52,Alimentação,2,1,1
16.96,Lanche,7,0,0
140.88,Lanche,1,1,1
18.76,Manutenção,4,1,0
139.16,Lanche,5,0,0
128.8,Lanche,4,1,1
